name,certificate,distribution,score,amount,Date,Extra,duration
About Fifty (2011),USA:R,0001210001,5.2,282,USA:19-January-2012,(St.AugustineFilmFestival),88
About Fifty (2011),USA:R,0001210001,5.2,282,USA:21-October-2011,(Ft.LauderdaleFilmFestival),88
Abraham Lincoln (1930),USA:Approved,0001121000,5.8,1109,USA:8-November-1930,,90
Abraham Lincoln (1930),USA:Approved,0001121000,5.8,1109,USA:24-August-1939,(NewYorkCity),90
Acapulco Gold (1976),USA:PG,00112000.0,4.6,71,USA:1-June-1976,,88
Accent on Youth (1935),USA:Passed,0..00230.1,6.8,32,USA:23-August-1935,,77
Accent on Youth (1935),USA:Approved,0..00230.1,6.8,32,USA:23-August-1935,,77
Accent on Youth (1935),USA:Approved,0..00230.1,6.8,32,USA:10-August-1935,(premiere),77
Accent on Youth (1935),USA:Passed,0..00230.1,6.8,32,USA:10-August-1935,(premiere),77
Ace Eli and Rodger of the Skies (1973),USA:PG,0001211000,5.2,186,USA:1-April-1973,,89
Aces Wild (1936),USA:Passed,.1.1112101,6.5,19,USA:20-December-1936,(premiere),63
Aces Wild (1936),USA:Approved,.1.1112101,6.5,19,USA:2-January-1937,,63
Aces Wild (1936),USA:Approved,.1.1112101,6.5,19,USA:20-December-1936,(premiere),63
Aces Wild (1936),USA:Passed,.1.1112101,6.5,19,USA:2-January-1937,,63
Across the Line (2000),USA:R,0000121001,5.9,173,USA:1-February-2000,,99
Across the Pacific (1926),USA:Passed,.....3311.,7.2,6,USA:2-October-1926,,78
Act of Valor (2012),USA:R,0000012101,6.5,61069,USA:24-February-2012,,110
Adam and Evelyne (1949),USA:Passed,0000121100,6.3,369,USA:26-December-1949,,92
Adam and Evelyne (1949),USA:Passed,0000121100,6.3,369,USA:26-December-1949,,70
Adam and Evelyne (1949),USA:Approved,0000121100,6.3,369,USA:26-December-1949,,92
Adam and Evelyne (1949),USA:Approved,0000121100,6.3,369,USA:26-December-1949,,70
Adam and Evelyne (1949),USA:Approved,0000121100,6.3,369,USA:26-December-1949,,92
Adam and Evelyne (1949),USA:Approved,0000121100,6.3,369,USA:26-December-1949,,70
Addio fratello crudele (1971),USA:R,0000012101,6.6,285,USA:November-1973,,91
Adjusting Honor (2010),USA:R,3...2..113,6.0,10,USA:25-September-2010,(FilipinoInternationalFilmFestivalLosAngeles),102
Admission (2013),USA:PG-13,0000231000,5.7,30216,USA:22-March-2013,,107
Adopted (2009),USA:R,2001100001,4.4,371,USA:2009,,80
Adoration (2008),USA:R,0000122100,6.3,2905,USA:8-May-2009,(limited),100
Adoration (2008),USA:R,0000122100,6.3,2905,USA:25-April-2009,(SanFranciscoInternationalFilmFestival),100
Adventureland (2009),USA:R,0000013100,6.8,139933,USA:19-January-2009,(SundanceFilmFestival),107
Adventureland (2009),USA:R,0000013100,6.8,139933,USA:15-March-2009,(SouthbySouthwestFilmFestival),107
Adventureland (2009),USA:R,0000013100,6.8,139933,USA:3-April-2009,,107
Afghan Knights (2007),USA:R,3110000001,3.1,675,USA:31-July-2007,(DVDpremiere),90
Africa addio (1966),USA:R,0000011112,7.1,1038,USA:4-March-2016,(True/FalseFilmFestival),83
Africa addio (1966),USA:R,0000011112,7.1,1038,USA:4-March-2016,(True/FalseFilmFestival),122
African Cats (2011),USA:G,0000012211,7.6,5457,USA:22-April-2011,,89
After Last Season (2009),USA:PG-13,1000000008,6.1,7119,USA:5-June-2009,(limited),93
After School (2008),USA:PG-13,.2..2.2..4,6.8,5,USA:26-August-2008,,120
After School (2008),USA:PG-13,.2..2.2..4,6.8,5,USA:7-August-2008,(AmericanBlackFilmFestival),120
After School Special (2003),USA:R,0001210000,4.8,5549,USA:21-October-2005,(limited),90
After School Special (2003),USA:R,0001210000,4.8,5549,USA:24-January-2006,(DVDpremiere),90
After... (2006),USA:R,2110000001,3.3,755,USA:4-November-2006,(AFIFEST),80
After.Life (2009),USA:R,0000122000,5.9,32865,USA:9-April-2010,(limited),104
After.Life (2009),USA:R,0000122000,5.9,32865,USA:7-November-2009,(AFIFilmFestival),104
AfterThought (2007),USA:PG-13,3110000001,2.6,242,USA:17-September-2013,,85
AfterThought (2007),USA:PG-13,3110000001,2.6,242,USA:2007-,(Dances-WithFilmsFestival),85
AfterThought (2007),USA:PG-13,3110000001,2.6,242,USA:2013-,(DVD-premiere),85
Against the Ropes (2004),USA:PG-13,0001221000,5.3,6178,USA:20-February-2004,,111
Age of Consent (1969),USA:R,0000122100,6.5,1955,USA:14-May-1969,,98
Age of Indiscretion (1935),USA:Approved,0.00122100,6.3,76,USA:10-May-1935,,78
Age of Indiscretion (1935),USA:Passed,0.00122100,6.3,76,USA:10-May-1935,,78
