Name,Count
aging,(647)	
agitator,(49)	
agnostic,(44)	
agony,(80)	
agoraphobia,(133)	
agreement,(44)	
agricultural,(20)	
agricultural-work,(59)	
agriculture,(502)	
agronomist,(20)	
ah-64-apache-helicopter,(34)	
aid,(57)	
aids,(790)	
aikido,(143)	
aimlessness,(29)	
air,(46)	
air-attack,(58)	
air-base,(90)	
air-battle,(53)	
air-conditioner,(62)	
air-conditioning,(38)	
air-crew,(28)	
air-defense,(20)	
air-drop,(24)	
air-duct,(91)	
air-force,(115)	
air-force-base,(76)	
air-force-one,(30)	
air-guitar,(56)	
air-gun,(21)	
air-hockey,(33)	
air-horn,(34)	
air-marshal,(33)	
air-mattress,(21)	
air-pollution,(60)	
air-quote-gesture,(260)	
air-race,(44)	
air-raid,(325)	
air-raid-shelter,(38)	
air-raid-siren,(77)	
air-raid-warden,(25)	
air-rifle,(23)	
air-show,(57)	
air-strike,(114)	
air-strip,(29)	
air-traffic-control,(46)	
air-traffic-controller,(43)	
air-vent,(78)	
airbag,(81)	
airboat,(73)	
aircraft,(206)	
aircraft-carrier,(256)	
aircraft-cockpit,(27)	
aircraft-hangar,(20)	
aircrew,(23)	
airfield,(236)	
airforce,(102)	
airforce-one,(55)	
airhead,(55)	
airlift,(23)	
airline,(105)	
airline-pilot,(49)	
airliner,(153)	
airlock,(77)	
airmail,(26)	
airman,(35)	
airplane,(3621)	
airplane-accident,(354)	
airplane-chase,(23)	
airplane-crash,(654)	
airplane-explosion,(47)	
airplane-hangar,(41)	
airplane-hijack,(61)	
airplane-hijacking,(34)	
airplane-on-fire,(23)	
airplane-passenger,(36)	
airplane-pilot,(134)	
airplane-runway,(20)	
airplane-shot-down,(67)	
airplane-stewardess,(78)	
airplane-ticket,(72)	
airplane-trip,(99)	
airport,(2560)	
airport-personnel,(22)	
airport-security,(88)	
airport-terminal,(33)	
airship,(98)	
airtight,(174)	
ak-47,(692)	
akron-ohio,(23)	
al-qaeda,(75)	
alabama,(229)	
aladdin,(33)	
alamo,(51)	
alarm,(509)	
alarm-bell,(28)	
alarm-clock,(496)	
alarm-system,(38)	
alaska,(506)	
albania,(71)	
albanian,(53)	
albany-new-york,(26)	
albatross,(31)	
albert-einstein,(46)	
albert-einstein-quote,(21)	
alberta-canada,(59)	
albino,(92)	
album,(51)	
album-cover,(28)	
albuquerque-new-mexico,(64)	
alcatraz,(86)	
alchemist,(57)	
alchemy,(116)	
alcohol,(2172)	
alcohol-abuse,(100)	
alcohol-drinking,(27)	
alcohol-poisoning,(23)	
alcoholic,(1843)	
alcoholic-cop,(40)	
alcoholic-drink,(180)	
alcoholic-father,(153)	
alcoholic-husband,(31)	
alcoholic-mother,(106)	
alcoholic-relapse,(54)	
alcoholics-anonymous,(184)	
alcoholics-anonymous-meeting,(28)	
alcoholism,(1341)	
ale,(44)	
alexandria-egypt,(41)	
alfa-romeo,(26)	
alfred-pennyworth-character,(23)	
algae,(27)	
algeria,(143)	
algerian,(51)	
algerian-war,(34)	
algiers-algeria,(47)	
algorithm,(29)	
alias,(296)	
alibi,(351)	
alice-in-wonderland,(163)	
alien,(3497)	
alien-abduction,(292)	
alien-ally,(32)	
alien-ambassador,(30)	
alien-artifact,(40)	
alien-attack,(133)	
alien-baby,(24)	
alien-child,(27)	
alien-city,(20)	
alien-civilization,(60)	
alien-commander,(30)	
alien-conspiracy,(36)	
alien-contact,(263)	
alien-costume,(40)	
alien-creature,(248)	
alien-creature-as-pet,(29)	
alien-crew-member,(184)	
alien-device,(41)	
alien-disguised-as-human,(71)	
alien-dna,(27)	
alien-doctor,(107)	
alien-encounter,(20)	
alien-entity,(23)	
